candidate_id,rank,score,reasoning
CAND_0000031,1,1.0,"Superb fit with 6.0 years of experience as a Recommendation Systems Engineer at Swiggy. Demonstrated production expertise in FAISS, Pinecone, Embeddings; highly engaged platform activity and strong GitHub score (32)."
CAND_0006567,2,1.0,Strong Senior candidate (7.9 YoE) with direct experience in NLP at Meta. Exceptional behavioral signals and active GitHub presence match the founding engineer profile.
CAND_0008295,3,1.0,"Strong Senior candidate (6.5 YoE) with direct experience in PEFT, Weaviate at Razorpay. Exceptional behavioral signals and active GitHub presence match the founding engineer profile."
CAND_0010685,4,1.0,Strong Senior candidate (6.7 YoE) with direct experience in applied ML at Rephrase.ai. Exceptional behavioral signals and active GitHub presence match the founding engineer profile.
CAND_0018499,5,1.0,"Superb fit with 7.2 years of experience as a Senior Machine Learning Engineer at Zomato. Demonstrated production expertise in Weaviate, Pinecone, Embeddings; highly engaged platform activity and strong GitHub score (94)."
CAND_0027691,6,1.0,"Top-tier candidate with 6.5 YoE, currently a NLP Engineer building ML systems at Haptik. Shipped systems involving LoRA, PEFT, Weaviate; highly responsive with 45-day notice."
CAND_0041610,7,1.0,"Top-tier candidate with 6.7 YoE, currently a Recommendation Systems Engineer building ML systems at Zoho. Shipped systems involving LoRA, Embeddings; highly responsive with 45-day notice."
CAND_0052328,8,1.0,Superb fit with 6.5 years of experience as a Recommendation Systems Engineer at Amazon. Demonstrated production expertise in LoRA; highly engaged platform activity and strong GitHub score (77).
CAND_0062247,9,1.0,"Strong Senior candidate (7.3 YoE) with direct experience in Pinecone, Qdrant, PEFT at Google. Exceptional behavioral signals and active GitHub presence match the founding engineer profile."
CAND_0064326,10,1.0,Strong Senior candidate (7.6 YoE) with direct experience in Weaviate at Sarvam AI. Exceptional behavioral signals and active GitHub presence match the founding engineer profile.
CAND_0067535,11,1.0,Experienced Junior ML Engineer (6.8 YoE) with key projects in applied ML at Locobuzz. Strong platform response rate and active presence.
CAND_0067866,12,1.0,"Experienced Senior Software Engineer (ML) (6.4 YoE) with key projects in Embeddings, LoRA, PEFT at Tech Mahindra. Strong platform response rate and active presence."
CAND_0071974,13,1.0,"Experienced Senior AI Engineer (7.8 YoE) with key projects in LoRA, Weaviate, PEFT at Netflix. Strong platform response rate and active presence."
CAND_0075249,14,1.0,Demonstrated production experience in Pinecone over 6.2 years at Zomato. Solid candidate with strong availability and relocation alignment.
CAND_0076163,15,1.0,6.9 YoE NLP Engineer at Ola showing solid hands-on experience in Weaviate. Noida/Pune preferred location fit.
CAND_0077337,16,1.0,"Experienced Staff Machine Learning Engineer (7.0 YoE) with key projects in Pinecone, Qdrant at Paytm. Strong platform response rate and active presence."
CAND_0079387,17,1.0,Demonstrated production experience in LoRA over 6.9 years at Microsoft. Solid candidate with strong availability and relocation alignment.
CAND_0081846,18,1.0,"Demonstrated production experience in Embeddings, Qdrant over 6.7 years at Razorpay. Solid candidate with strong availability and relocation alignment."
CAND_0082086,19,1.0,"Experienced Senior Software Engineer (ML) (6.0 YoE) with key projects in FAISS, Pinecone at Razorpay. Strong platform response rate and active presence."
CAND_0088378,20,1.0,Experienced AI Research Engineer (6.0 YoE) with key projects in applied ML at Yellow.ai. Strong platform response rate and active presence.
CAND_0098846,21,1.0,"7.6 YoE AI Engineer at upGrad showing solid hands-on experience in PEFT, Qdrant. Noida/Pune preferred location fit."
CAND_0011687,22,0.9968,"7.8 YoE Senior NLP Engineer at Niramai showing solid hands-on experience in FAISS, PEFT, Embeddings. Noida/Pune preferred location fit."
CAND_0007009,23,0.9961,"7.9 YoE Recommendation Systems Engineer at Wysa showing solid hands-on experience in Weaviate, Embeddings, PEFT. Noida/Pune preferred location fit."
CAND_0098217,24,0.9953,"Demonstrated production experience in PEFT, FAISS, Pinecone over 6.4 years at Glance. Solid candidate with strong availability and relocation alignment."
CAND_0050454,25,0.9952,"Experienced AI Engineer (6.8 YoE) with key projects in FAISS, Qdrant, LoRA at Rephrase.ai. Strong platform response rate and active presence."
CAND_0091909,26,0.9951,"Experienced Machine Learning Engineer (6.9 YoE) with key projects in Pinecone, Qdrant at Rephrase.ai. Strong platform response rate and active presence."
CAND_0025882,27,0.9937,"Demonstrated production experience in FAISS, LoRA over 5.6 years at Freshworks. Solid candidate with strong availability and relocation alignment."
CAND_0078002,28,0.993,"6.3 YoE Machine Learning Engineer at Meta showing solid hands-on experience in NLP, Weaviate. Noida/Pune preferred location fit."
CAND_0026942,29,0.9899,6.0 YoE Junior ML Engineer at Verloop.io showing solid hands-on experience in applied ML. Noida/Pune preferred location fit.
CAND_0018549,30,0.9893,"Experienced Recommendation Systems Engineer (6.8 YoE) with key projects in Weaviate, Qdrant at Uber. Strong platform response rate and active presence."
CAND_0059795,31,0.9881,Demonstrated production experience in applied ML over 5.6 years at Locobuzz. Solid candidate with strong availability and relocation alignment.
CAND_0053605,32,0.9856,Experienced Senior Software Engineer (ML) (6.9 YoE) with key projects in applied ML at Verloop.io. Strong platform response rate and active presence.
CAND_0036184,33,0.9819,"Experienced Recommendation Systems Engineer (6.0 YoE) with key projects in FAISS, Embeddings, Pinecone at CRED. Strong platform response rate and active presence."
CAND_0043676,34,0.9794,"Demonstrated production experience in PEFT, LoRA over 6.1 years at Observe.AI. Solid candidate with strong availability and relocation alignment."
CAND_0052682,35,0.9792,"Demonstrated production experience in FAISS, Embeddings over 6.6 years at Aganitha. Solid candidate with strong availability and relocation alignment."
CAND_0061257,36,0.9779,Experienced Staff Machine Learning Engineer (8.0 YoE) with key projects in PEFT at LinkedIn. Strong platform response rate and active presence.
CAND_0007052,37,0.9775,6.5 YoE ML Engineer at Unacademy showing solid hands-on experience in Weaviate. Noida/Pune preferred location fit.
CAND_0046064,38,0.9763,"8.9 YoE Senior NLP Engineer at Salesforce showing solid hands-on experience in Pinecone, PEFT. Noida/Pune preferred location fit."
CAND_0033445,39,0.9733,6.8 YoE ML Engineer at Vedantu showing solid hands-on experience in applied ML. Noida/Pune preferred location fit.
CAND_0083879,40,0.9705,Experienced Machine Learning Engineer (7.1 YoE) with key projects in applied ML at Ola. Strong platform response rate and active presence.
CAND_0046525,41,0.9701,"6.1 YoE Senior Machine Learning Engineer at Genpact AI showing solid hands-on experience in NLP, Qdrant. Noida/Pune preferred location fit."
CAND_0015097,42,0.9684,"Experienced Senior Software Engineer (ML) (6.0 YoE) with key projects in PEFT, NLP at Zoho. Strong platform response rate and active presence."
CAND_0054100,43,0.9676,"Experienced Junior ML Engineer (6.0 YoE) with key projects in Pinecone, Weaviate at Zoho. Strong platform response rate and active presence."
CAND_0073504,44,0.9661,6.6 YoE Junior ML Engineer at PolicyBazaar showing solid hands-on experience in applied ML. Noida/Pune preferred location fit.
CAND_0078492,45,0.9653,"5.1 YoE Recommendation Systems Engineer at Verloop.io showing solid hands-on experience in FAISS, Qdrant, PEFT. Noida/Pune preferred location fit."
CAND_0096104,46,0.9645,"Experienced AI Specialist (7.0 YoE) with key projects in Pinecone, PEFT at Yellow.ai. Strong platform response rate and active presence."
